,drug_row,drug_col,cell_line
1,176871,24856436,HT29
2,123631,24856436,HT29
3,176871,24964624,HT29
4,123631,24964624,HT29
5,176871,24748204,HT29
6,176871,11960529,HT29
7,176871,11977753,HT29
8,123631,24748204,HT29
9,71384,24856436,HT29
10,176871,46926350,HT29
11,123631,11960529,HT29
12,36462,123631,HT29
13,11626560,24856436,HT29
14,123631,11977753,HT29
15,3385,36462,A375
16,71384,24964624,HT29
17,71384,24748204,HT29
18,11683,24856436,HT29
19,5311,42611257,SW-620
20,11626560,24964624,HT29
21,123631,46926350,HT29
22,2123,24856436,HT29
23,71384,11960529,HT29
24,11626560,24748204,HT29
25,216326,24856436,HT29
26,4211,24856436,HT29
27,176871,9826528,HT29
28,6450551,24856436,HT29
29,3385,4091,A375
30,3385,5743,A375
31,60699,24856436,HT29
32,5743,123631,HT29
33,5426,11977753,HCT116
34,4091,123631,HT29
35,11525740,24856436,HT29
36,216326,24964624,HT29
37,60198,24856436,HT29
38,11626560,11960529,HT29
39,11683,24964624,HT29
40,60699,24748204,HT29
41,57469,24856436,HT29
42,2123,24964624,HT29
43,36462,354624,HT29
44,2478,24856436,HT29
45,216326,11977753,HCT116
46,6450551,24964624,HT29
47,5453,24856436,HT29
48,3690,24856436,HT29
49,3902,24856436,HT29
50,60699,24964624,HT29
51,71384,11977753,HT29
52,644241,24856436,HT29
53,5426,24856436,HT29
54,36462,71384,HT29
55,11626560,11977753,HT29
56,216326,24748204,HT29
57,9703,24856436,HT29
58,11683,24748204,HT29
59,2662,24856436,HT29
60,60699,11960529,HT29
61,6450551,24748204,HT29
62,11525740,24964624,HT29
63,2187,24856436,HT29
64,60198,24748204,HT29
65,2123,24748204,HT29
66,4211,24964624,HT29
67,57469,11977753,HCT116
68,3363,24856436,HT29
69,11525740,24748204,HT29
70,4211,11960529,HT29
71,36462,6450551,HT29
72,11683,11960529,HT29
73,6450551,11960529,HT29
74,216326,11960529,HT29
75,5453,24964624,HT29
76,2123,11960529,HT29
77,2094,24856436,HT29
78,4114,24856436,HT29
79,4211,24748204,HT29
80,5743,36462,VCAP
81,60198,11960529,HT29
82,5426,24856436,HCT116
83,57469,24964624,HT29
84,2123,11977753,HT29
85,4091,354624,HT29
86,11960529,42611257,SW-620
87,444795,24856436,HT29
88,2478,24964624,HT29
89,644241,24964624,HT29
90,11525740,11960529,HT29
91,60198,24964624,HT29
92,36462,644241,HT29
93,3902,24964624,HT29
94,216326,11977753,HT29
95,11683,11977753,HT29
96,5743,354624,HT29
97,57469,24748204,HT29
98,5743,36462,A375
99,9703,24964624,HT29
100,11525740,11977753,HT29
101,2662,24964624,HT29
102,5453,24748204,HT29
103,24856436,42611257,SW-620
104,24856436,42611257,HCT116
105,6450551,11977753,HT29
106,3363,24964624,HT29
107,71384,46926350,HT29
108,2478,24748204,HT29
109,9703,24748204,HT29
110,5453,11960529,HT29
111,5453,11977753,HT29
112,3690,24964624,HT29
113,2187,24748204,HT29
114,644241,24748204,HT29
115,2187,24964624,HT29
116,3690,24748204,HT29
117,5426,24964624,HT29
118,4091,71384,HT29
119,36462,176871,HT29
120,2662,24748204,HT29
121,4114,24964624,HT29
122,3902,24748204,HT29
123,387447,3062316,A549
124,123631,9826528,HT29
125,5743,71384,HT29
126,4211,11977753,HT29
127,5311,24856436,A-673
128,36462,11626560,HT29
129,5311,57469,A-673
130,5426,24748204,HT29
131,3690,11960529,HT29
132,57469,11960529,HT29
133,354624,24856436,HT29
134,3363,24748204,HT29
135,24964624,42611257,SW-620
136,2478,11960529,HT29
137,60699,11977753,HT29
138,444795,24964624,HT29
139,216326,24856436,HCT116
140,36462,25126798,HT29
