,cell_line_name,drug_row_cid,drug_col_cid,synergy_zip,synergy_bliss,synergy_loewe,synergy_hsa,S,label,synergy_zip,synergy_bliss,synergy_loewe,synergy_hsa,S,major_label,mean_score,mean_label
0,A375,3385,11960529,-0.148907771,1.083539986,-20.95011656,-2.137572893,19.21375,,0,1,0,0,1,0,-0.5878614476000003,0
1,A375,24856436,11960529,6.657356354,6.677769458,-45.98486266,3.896545757,18.034375,,1,1,0,1,1,1,-2.1437632181999993,0
2,A375,387447,11960529,2.631290542,1.52754648,-56.75364545,-0.552609568,17.09175,,1,1,0,0,1,1,-7.211133599199999,0
3,A375,3062316,11960529,3.203603403,4.705352719,-33.24511804,1.705497857,21.759875,,1,1,0,1,1,1,-0.3741578122,0
4,A375,5743,11960529,5.910525532,9.594765279,5.410245909,5.203283142,6.68625,Synergy,1,1,1,1,1,1,6.5610139724000005,1
5,A375,36462,11960529,4.258579995,2.72896145,-32.65953819,0.434215857,11.63775,,1,1,0,1,1,1,-2.7200061775999997,0
6,A375,208908,11960529,1.259046325,-1.799161372,-4.528789274,-5.354700017,0.765125,,1,0,0,0,1,0,-1.9316958676000002,0
7,A375,4091,11960529,2.092428241,-3.159695098,-6.867148468,-6.823981599,-2.649,,1,0,0,0,0,0,-3.4814793848,0
8,A375,24964624,11960529,9.724049015,9.581372003,7.208317387,5.939781018,2.92325,Synergy,1,1,1,1,1,1,7.075353884600001,1
9,A375,24748204,11960529,6.967585419,15.52004004,6.519880109,11.83748368,14.7395,Synergy,1,1,1,1,1,1,11.116897849599999,1
10,A375,9826528,11960529,3.032142302,1.456699919,-24.54319127,-0.368903518,-5.137125,,1,1,0,0,0,0,-5.112075513400001,0
11,A375,5394,11960529,18.37277531,16.88460241,13.23192929,13.52256995,21.637375,Synergy,1,1,1,1,1,1,16.729850392,1
12,A375,5311,11960529,1.590447558,-1.398557483,-42.69770331,-4.193311143,33.239125,,1,0,0,0,1,0,-2.6919998756000014,0
13,A375,3385,24856436,4.6773789,3.760816297,-0.840317399,7.146155604,33.5915,,1,1,0,1,1,1,9.6671066804,1
14,A375,5743,24856436,6.028306382,6.700475107,-46.31050364,3.581128869,16.843875,,1,1,0,1,1,1,-2.6313436564,0
15,A375,36462,24856436,6.334668505,6.389252696,7.810534856,12.51408974,9.135125,Synergy,1,1,1,1,1,1,8.4367341594,1
16,A375,4091,24856436,5.111845019,4.332219708,-32.00067046,4.761615279,19.720125,,1,1,0,1,1,1,0.38502690919999977,1
17,A375,5394,24856436,6.507941269,7.567123303,-9.447405864,9.754797977,24.484875,,1,1,0,1,1,1,7.7734663369999994,1
18,A375,5311,24856436,9.780321074,8.715178694,7.228376736,12.17523573,47.670875,Synergy,1,1,1,1,1,1,17.1139974468,1
19,A375,3385,11977753,3.695858656,2.280654718,0.373291262,5.746658193,19.712125,Synergy,1,1,1,1,1,1,6.3617175658,1
20,A375,11960529,11977753,13.66542985,13.1902702,-29.69790992,10.92664084,18.935125,,1,1,0,1,1,1,5.403911194,1
21,A375,24856436,11977753,16.41628758,15.48664672,16.45265624,21.39086249,22.302125,Synergy,1,1,1,1,1,1,18.409715606,1
22,A375,387447,11977753,4.968270481,4.747786556,4.735000067,6.86092696,4.2995,Synergy,1,1,1,1,1,1,5.1222968128,1
23,A375,3062316,11977753,12.69625614,12.55056453,14.35445463,17.73672558,21.867375,Synergy,1,1,1,1,1,1,15.841075175999999,1
24,A375,5743,11977753,7.467289334,5.930575464,-37.23275368,3.391797094,15.756875,,1,1,0,1,1,1,-0.9372433575999999,0
25,A375,36462,11977753,5.283625236,4.527633893,8.306352442,11.52755985,-3.553625,Synergy,1,1,1,1,0,1,5.218309284199999,1
