gene,betweenness,degree,closeness,constraint,coreness,eccentricity,eigen_centrality,hub score
2,65754.88479,74,1.08E-08,0.016593892,21,8,0.012821345,0.008503884
25,272555.7362,305,1.07E-08,0.00927564,34,8,0.058648836,0.047555965
27,10939.11523,31,1.02E-08,0.040489658,23,9,0.006761677,0.004377153
93,1278.14796,21,5.52E-09,0.086818694,10,10,0.000319226,1.37E-05
135,1017.178708,12,1.16E-08,0.107839824,11,9,0.001125656,0.001801912
142,46999.33224,134,1.29E-08,0.011041146,34,8,0.057777608,0.055051888
143,0,1,5.52E-09,1,1,10,1.54E-05,1.37E-05
185,11237.4077,25,1.27E-08,0.04486785,16,8,0.006565108,0.006550458
191,739.1105022,19,9.59E-09,0.067911469,14,9,0.006768775,0.00778074
196,12650.53101,40,1.20E-08,0.031948475,27,9,0.013356284,0.011849596
203,0,9,1.12E-08,0.111111111,9,9,0.000208521,0.000203738
207,212219.7222,222,1.19E-08,0.006190744,34,9,0.067071278,0.057572877
208,21648.74511,88,1.17E-08,0.015380227,30,9,0.019334186,0.017082191
210,0,3,7.38E-09,1,3,10,1.58E-06,3.73E-06
213,127380.8852,167,1.14E-08,0.007627665,24,8,0.02933649,0.022554917
218,3861.224031,45,1.02E-08,0.048029929,19,10,0.000330268,0.00022463
230,4128.576485,28,9.65E-09,0.049680787,19,10,0.000938479,0.000950754
238,37743.1024,71,1.02E-08,0.015709669,26,9,0.01738394,0.016664787
271,0,3,5.52E-09,1,3,10,0.000149169,2.65E-06
308,2742.373362,11,8.78E-09,0.090909091,8,9,0.000722926,0.000701234
317,5936.865378,20,9.51E-09,0.061712811,15,9,0.004802985,0.004454804
324,398208.021,235,9.50E-09,0.005338388,34,8,0.075469614,0.045639525
328,71720.13523,48,9.50E-09,0.026250219,25,9,0.014198731,0.008337281
329,18414.08776,51,7.79E-09,0.023409009,24,9,0.008498415,0.011922987
330,2924.919783,30,7.43E-09,0.043650746,22,9,0.007521126,0.007869768
331,22332.86302,65,9.43E-09,0.018894741,26,9,0.012904738,0.013971012
332,9289.106439,23,9.42E-09,0.057684019,18,9,0.004812562,0.003965835
338,25108.4705,32,8.50E-09,0.034641039,17,9,0.006587056,0.002208247
345,296.1121349,8,6.04E-09,0.134337882,8,9,0.000429338,0.000264224
350,33564.10706,34,8.94E-09,0.034067601,18,8,0.007363574,0.003627632
355,14777.20065,55,8.96E-09,0.023343692,28,9,0.014011237,0.009724429
356,107371.4837,87,8.95E-09,0.013517244,26,9,0.012589044,0.010456314
367,291591.2171,212,8.97E-09,0.00663153,34,9,0.055897237,0.042673535
369,29166.96427,44,8.56E-09,0.026216293,21,9,0.011944923,0.012430411
378,7649.257853,6,7.95E-09,0.166666667,6,9,0.002717916,0.001510222
382,121054.2703,119,8.37E-09,0.009616186,31,9,0.058604492,0.032417903
387,137710.2085,116,8.67E-09,0.011652899,28,9,0.018665227,0.01611729
388,5912.441697,26,7.72E-09,0.038597883,12,10,0.001589337,0.000881799
392,11562.23012,24,7.22E-09,0.048644957,17,9,0.006638016,0.003599412
444,0,2,5.52E-09,0.5,2,10,4.21E-06,0
472,92804.3197,116,7.29E-09,0.012894481,29,9,0.016606302,0.013166093
475,1950.935135,8,6.96E-09,0.18739229,6,10,4.88E-05,9.91E-06
488,13261.88179,23,7.13E-09,0.052137776,19,9,0.005727387,0.005002328
506,29814.2939,43,7.65E-09,0.037637597,23,8,0.017414115,0.013849013
538,1249.61457,5,5.74E-09,0.251225907,5,9,1.78E-05,3.42E-06
539,14629.22863,44,7.03E-09,0.035683766,23,9,0.017270514,0.009480523
545,46235.0549,91,6.93E-09,0.015251502,29,9,0.022482501,0.014035182
563,0,5,5.52E-09,0.333333333,5,9,0.000552785,5.49E-06
572,42150.32234,54,6.76E-09,0.022868893,30,9,0.016990499,0.013537779
573,19101.79713,30,6.77E-09,0.036522458,26,9,0.010032581,0.004605274
578,4494.303514,26,6.67E-09,0.047730797,18,9,0.012853854,0.005309626
581,7092.28972,36,6.67E-09,0.040830977,23,9,0.009049551,0.005765788
595,41138.30642,63,6.57E-09,0.020250571,31,9,0.016654943,0.008876488
596,130286.0746,108,6.67E-09,0.014013304,30,8,0.01680641,0.011219421
598,100607.4516,87,6.66E-09,0.017512108,27,8,0.009607513,0.007831496
599,1075.526382,14,6.17E-09,0.083070407,10,9,0.001425164,0.001003217
604,105225.1374,98,6.36E-09,0.011826164,27,9,0.010221591,0.004218603
